S.No.,Bidding Authority,REIA,Tender Capacity,Category,Type,Connectivity,RFS No.,RFS Date,RFS Financial Year,eRA,Financial Year,Company,Group Company,Won Capacity,Final Tariff,Initial Tariff,Status (e-RA/LOA/PPA/COD),Signed PPA Cap. (MW),Remarks,Bid Capacity,Bidding Result,Any Success
1233,GUVNL,State,250,Wind,Wind,STU,GUVNL-Wind-250 MW + 250 MW Greenshoe-Ph.10,26-Sep-25,FY 2026,30-Dec-25,FY 2026,Patel Infrastrucutre Ltd.,Patel Infrastrucutre Ltd.,100,3.43,,e-RA,,Only base capacity allotted ,,Partial Capacity Won,Yes
1234,GUVNL,State,250,Wind,Wind,STU,GUVNL-Wind-250 MW + 250 MW Greenshoe-Ph.10,26-Sep-25,FY 2026,30-Dec-25,FY 2026,Alfanar Power,Alfanar Power,50,3.43,,e-RA,,Only base capacity allotted ,,Partial Capacity Won,Yes
1235,GUVNL,State,250,Wind,Wind,STU,GUVNL-Wind-250 MW + 250 MW Greenshoe-Ph.10,26-Sep-25,FY 2026,30-Dec-25,FY 2026,KP Energy,KP Energy,50,3.44,,e-RA,,Only base capacity allotted ,,Partial Capacity Won,Yes
1236,GUVNL,State,250,Wind,Wind,STU,GUVNL-Wind-250 MW + 250 MW Greenshoe-Ph.10,26-Sep-25,FY 2026,30-Dec-25,FY 2026,Powerica,Powerica,50,3.44,,e-RA,,Only base capacity allotted ,,Partial Capacity Won,Yes
1216,APTransco,State,1000,ESS/BESS,BESS,STU,APTRANSCO-1 GW-2GWh-BESS+VGF-18LMWh,25-Aug-25,FY 2026,29-Nov-25,FY 2026,SBR Electro Projects,SBR Electro Projects,25,1.48,,e-RA,,220/132/33 kV SS Gajuwaka ,25,Full Capacity Won,Yes
1217,APTransco,State,1000,ESS/BESS,BESS,STU,APTRANSCO-1 GW-2GWh-BESS+VGF-18LMWh,25-Aug-25,FY 2026,29-Nov-25,FY 2026,Ecoren Energy,Ecoren Energy,275,1.5,,e-RA,,400/220 kV SS Talaricheruvu,275,Full Capacity Won,Yes
1218,APTransco,State,1000,ESS/BESS,BESS,STU,APTRANSCO-1 GW-2GWh-BESS+VGF-18LMWh,25-Aug-25,FY 2026,29-Nov-25,FY 2026,Bhagwati Group,Bhagwati Group,75,1.5,,e-RA,,400/220 kV SS Maradam,75,Full Capacity Won,Yes
1219,APTransco,State,1000,ESS/BESS,BESS,STU,APTRANSCO-1 GW-2GWh-BESS+VGF-18LMWh,25-Aug-25,FY 2026,29-Nov-25,FY 2026,Legion Energy Products,Legion Energy Products,25,1.5,,e-RA,,132/33 kV SS Simhachalam,25,Full Capacity Won,Yes
1220,APTransco,State,1000,ESS/BESS,BESS,STU,APTRANSCO-1 GW-2GWh-BESS+VGF-18LMWh,25-Aug-25,FY 2026,29-Nov-25,FY 2026,Bondada Engineering,Bondada Engineering,225,1.64,,e-RA,,400/220 kV SS Hindupur,225,Full Capacity Won,Yes
1221,APTransco,State,1000,ESS/BESS,BESS,STU,APTRANSCO-1 GW-2GWh-BESS+VGF-18LMWh,25-Aug-25,FY 2026,29-Nov-25,FY 2026,PGCIL,PGCIL,150,1.64,,e-RA,,400/220 kV SS Kalikiri,150,Full Capacity Won,Yes
1222,APTransco,State,1000,ESS/BESS,BESS,STU,APTRANSCO-1 GW-2GWh-BESS+VGF-18LMWh,25-Aug-25,FY 2026,29-Nov-25,FY 2026,Ecoren Energy,Ecoren Energy,225,1.65,,e-RA,,400/220 kV SS Pampanuruthanda,225,Full Capacity Won,Yes
1210,RUVNL,State,500,ESS/BESS,BESS,STU,RUVNL - BESS - 500 MW / 2000 MWh,8-Aug-25,FY 2026,24-Nov-25,FY 2026,Patanjali Ayurved Ltd.,Patanjali,250,2.85,2.85,e-RA,,,250,Full Capacity Won,Yes
1211,RUVNL,State,501,ESS/BESS,BESS,STU,RUVNL - BESS - 500 MW / 2000 MWh,8-Aug-25,FY 2026,24-Nov-25,FY 2026,Ultravibrant Solar Energy Pvt. Ltd. ,Ultravibrant,50,2.85,2.85,e-RA,,,50,Full Capacity Won,Yes
1212,RUVNL,State,502,ESS/BESS,BESS,STU,RUVNL - BESS - 500 MW / 2000 MWh,8-Aug-25,FY 2026,24-Nov-25,FY 2026,Rama Reflection India Pvt. Ltd,Rama,50,2.85,2.85,e-RA,,,50,Full Capacity Won,Yes
1213,RUVNL,State,503,ESS/BESS,BESS,STU,RUVNL - BESS - 500 MW / 2000 MWh,8-Aug-25,FY 2026,24-Nov-25,FY 2026,Mec Power Solutions Ltd. ,Mecpower,50,2.85,2.85,e-RA,,,50,Full Capacity Won,Yes
1214,RUVNL,State,504,ESS/BESS,BESS,STU,RUVNL - BESS - 500 MW / 2000 MWh,8-Aug-25,FY 2026,24-Nov-25,FY 2026,Bhagwati Lacto Vegetarian Exports Pvt. Ltd.,Bhagwati Lacto Vegetarian Exports Pvt. Ltd.,50,2.85,2.85,e-RA,,,50,Full Capacity Won,Yes
1215,RUVNL,State,505,ESS/BESS,BESS,STU,RUVNL - BESS - 500 MW / 2000 MWh,8-Aug-25,FY 2026,24-Nov-25,FY 2026,Diwakar Renewables & Infra Pvt. Ltd.,Diwakar Renewables & Infra Pvt. Ltd.,50,2.85,2.85,e-RA,,,50,Full Capacity Won,Yes
1201,REMCL,Central,1000,RTC/FDRE,RTC,ISTS,REMCL 1 GW RTC ,24-Jul-25,FY 2026,21-Nov-25,FY 2026,Ayana,Ayana,140,4.35,5.24,e-RA,,,140,Full Capacity Won,Yes
1202,REMCL,Central,1000,RTC/FDRE,RTC,ISTS,REMCL 1 GW RTC ,24-Jul-25,FY 2026,21-Nov-25,FY 2026,Jindal Green,Jindal Green,150,4.35,5.04,e-RA,,,150,Full Capacity Won,Yes
1203,REMCL,Central,1000,RTC/FDRE,RTC,ISTS,REMCL 1 GW RTC ,24-Jul-25,FY 2026,21-Nov-25,FY 2026,Bhalki Solar (Rays Power),Bhalki Solar (Rays Power),200,4.35,5.1,e-RA,,,200,Full Capacity Won,Yes
